Bug	10A	11A	12A	13A	14A	15A	16A	17A	18A	19A	1A	20A	21A	22A	23A	24A	25A	26A	27A	28A	29A	2A	30A	31A	32A	33A	34A	35A	36A	37A	38A	39A	3A	40A	41A	42A	43A	44A	45A	46A	47A	48A	49A	4A	50A	51A	52A	53A	54A	55A	5A	6A	7A	8A	9A
FCMP.c-17.2071	0.307738	0.273592	0.125304	0.058171	0.033721	0.029405	0.018972	0.098012	0.015002	0.368871	0.246521	0.235818	0.081955	0.067211	0.196097	0.158654	0.857418	0.040798	0.532999	0.707207	0.585769	0.259057	0.177239	0.044596	0.050192	0.24072	0.239987	0.417095	0.060734	0.515518	0.246461	0.249734	0.199378	0.092793	0.090054	0.000194	0.290135	0.18784	0.030672	0.188179	0.281454	0.152614	0.396957	0.405957	0.034714	0.145197	0.564089	0.450361	0.198086	0.27413	0.342483	0.160052	0.058825	0.041809	0.105797
FCMP.c-22.2388	0.158857	0.170328	0.251989	0.006814	0.575831	0.56553	0.014358	0.004435	0.500941	0.023742	0.544957	0.244668	0.104631	0.166693	0.023978	0.069194	0.360157	0.081517	0.003982	0.214114	0.005215	0.567956	0.221908	0.022422	0.054009	0.016784	0.014808	0.038786	0.057677	0.0716	0.201867	0.299688	0.057552	0.169127	0.298923	0.000359	0.174006	0.169063	0.170391	0.315159	0.113996	0.412398	0.043726	0.371809	0.06092	0.020833	0.07774	0.160499	0.186521	0.313921	0.273823	0.297692	0.526946	0.006943	0.615939
FCMP.c-24.7	0.20929	0.367701	0.040063	0.00797	0.010212	0.007177	0.00998	0.006405	0.006216	0.030288	0.03595	0.380919	0.026314	0.278424	0.036906	0.009041	0.007185	0.015163	0.007037	0.908118	0.01816	0.031773	0.043835	0.02232	0.054363	0.961394	0.010807	0.038393	0.018163	0.590207	0.484653	0.100348	0.033944	0.555138	0.007276	0.000243	0.057735	0.007715	0.057665	0.948323	0.35349	0.916329	0.369139	0.024225	0.029662	0.644249	0.018465	0.338237	0.234523	0.012677	0.015901	0.911837	0.739037	0.230642	0.131999
FCMP.c-24.861	0.357599	0.092787	0.06043	0.023165	0.225968	0.169376	0.133185	0.427211	0.148154	0.083543	0.106436	0.216777	0.081589	0.136511	0.112793	0.085483	0.045028	0.058218	0.015244	0.823648	0.026186	0.226905	0.103052	0.057095	0.134348	0.677841	0.470828	0.127972	0.05418	0.177626	0.300979	0.305461	0.176084	0.140503	0.018248	0.000173	0.12625	0.066463	0.082912	0.051848	0.300581	0.08383	0.128571	0.06505	0.052603	0.111963	0.526652	0.167467	0.107746	0.744354	0.050531	0.318045	0.284816	0.570299	0.227279
FCMP.c-27.5209	0.00319	0.563846	0.019976	0.00849	0.004384	0.003277	0.530359	0.079121	0.003488	0.004033	0.017893	0.917353	0.872545	0.056726	0.407162	0.01324	0.008585	0.002048	0.00209	0.007438	0.350068	0.014549	0.007177	0.015692	0.183379	0.008036	0.005432	0.018272	0.004976	0.006275	0.003278	0.005216	0.014599	0.005365	0.01556	0.000117	0.007444	0.014336	0.003708	0.019756	0.013118	0.019813	0.010356	0.01247	0.002644	0.019392	0.058132	0.409512	0.312823	0.002676	0.938932	0.50855	0.03489	0.011725	0.002991
FCMP.c-27.5222	0.029124	0.034283	0.042688	0.015364	0.023403	0.019906	0.012441	0.017003	0.011552	0.007311	0.051327	0.024263	0.03844	0.033551	0.034445	0.93677	0.042608	0.014435	0.016814	0.022744	0.0047	0.047608	0.032994	0.018642	0.035518	0.023066	0.020931	0.021236	0.055463	0.024593	0.022849	0.022116	0.046616	0.034989	0.014305	0.001048	0.029356	0.042793	0.015789	0.024253	0.01579	0.025193	0.022956	0.03866	0.023254	0.071694	0.101422	0.155991	0.438789	0.010619	0.038963	0.050014	0.023411	0.017251	0.02199
FCMP.c-25.2154	0.191421	0.177325	0.122867	0.014073	0.181346	0.193957	0.144976	0.168809	0.407931	0.03369	0.127909	0.005794	0.113555	0.155433	0.049297	0.178422	0.135496	0.449447	0.002396	0.345976	0.006727	0.1032	0.099924	0.023576	0.077549	0.182319	0.027887	0.197189	0.070547	0.060573	0.130961	0.210695	0.139427	0.187196	0.186049	0.000123	0.137165	0.217116	0.008014	0.05545	0.136919	0.130368	0.112182	0.116558	0.016974	0.133697	0.060839	0.114057	0.107037	0.039979	0.13572	0.065043	0.141725	0.859163	0.120882
FCMP.c-24.879	0.373495	0.268131	0.287113	0.334889	0.489022	0.492202	0.002744	0.0499	0.019774	0.004436	0.321757	0.03284	0.099804	0.166863	0.158443	0.603885	0.016573	0.275406	0.004433	0.295525	0.05487	0.519352	0.122159	0.203458	0.359585	0.513428	0.009119	0.258565	0.333205	0.165569	0.173936	0.213207	0.307391	0.347257	0.329699	0.006832	0.301944	0.392135	0.107488	0.070284	0.027291	0.384353	0.310008	0.038318	0.512487	0.276785	0.077043	0.186057	0.154211	0.23547	0.155769	0.268864	0.030524	0.009482	0.421962
FCMP.c-27.5275	0.823601	0.227174	0.197923	0.006224	0.023407	0.013341	0.007046	0.011191	0.000136	0.010063	0.590668	0.021157	0.104367	0.123883	0.068031	0.011417	0.010534	0.13651	0.007999	0.012569	0.002299	0.428466	0.072669	0.069772	0.032874	0.006993	0.012036	0.31973	0.347855	0.443579	0.216817	0.135152	0.240112	0.677295	0.429751	0.000264	0.022621	0.491393	0.011136	0.117313	0.160107	0.27947	0.038426	0.11818	0.009142	0.470742	0.011687	0.469992	0.116737	0.011958	0.970523	0.891098	0.310148	0.917526	0.250982
FCMP.c-16.5393	0.04703	0.002334	0.028296	0.000645	0.005592	0.002855	0.000434	0.773884	0.001036	0.001907	0.156265	0.101133	0.273155	0.104649	0.014643	0.118566	0.272526	0.001549	0.005255	0.041576	0.014602	0.195055	0.003209	0.047345	0.001872	0.00746	0.466676	0.004273	0.000377	0.001604	0.245477	0.151572	0.009144	0.031009	0.345295	0.000745	0.000778	0.003771	0.00155	0.064592	0.262911	0.001413	0.156909	0.08893	0.004469	0.009414	0.002783	0.233012	0.002435	0.00799	0.684453	0.030905	0.00239	0.005676	0.043559
FCMP.c-27.5327	0.181829	0.207558	0.038331	0.165035	0.145567	0.096059	0.104635	0.250668	0.008517	0.934195	0.108793	0.23768	0.102462	0.046024	0.043181	0.016805	0.093727	0.050282	0.068675	0.193857	0.342878	0.043752	0.060166	0.126767	0.12429	0.16255	0.089285	0.04501	0.138424	0.225813	0.142745	0.201477	0.085387	0.060349	0.062044	0.001579	0.077651	0.050607	0.009913	0.157921	0.092769	0.168455	0.257687	0.297796	0.009534	0.051638	0.015853	0.040277	0.014756	0.016928	0.063039	0.10861	0.132961	0.164686	0.103498
FCMP.c-23.1725	0.359392	0.309163	0.184988	0.182236	0.371881	0.275509	0.009023	0.455431	0.003472	0.446684	0.347794	0.125131	0.34246	0.325056	0.265062	0.57402	0.193742	0.597994	0.853505	0.355909	0.34299	0.407055	0.236177	0.90164	0.224194	0.215399	0.462615	0.108652	0.342001	0.547169	0.217605	0.294818	0.175337	0.462341	0.284468	0.001259	0.431366	0.379148	0.186884	0.19273	0.474955	0.33314	0.362461	0.780828	0.29296	0.426237	0.262106	0.188545	0.236695	0.217186	0.486968	0.330349	0.329099	0.196807	0.300254
FCMP.c-24.8040	0.243435	0.213647	0.121086	0.619453	0.107047	0.103826	0.009154	0.021399	0.390849	0.135623	0.192591	0.022707	0.031265	0.072137	0.061962	0.220448	0.391873	0.175263	0.128915	0.034603	0.224229	0.219142	0.130011	0.019025	0.137123	0.393428	0.023175	0.036634	0.179517	0.072203	0.00728	0.051253	0.228564	0.068562	0.129506	0.004697	0.027871	0.082737	0.191066	0.007049	0.009351	0.090088	0.089606	0.003463	0.038712	0.053333	0.018502	0.09827	0.050498	0.025501	0.137465	0.309947	0.04981	0.619029	0.135907
FCMP.c-24.955	0.468359	0.290405	0.026647	0.015564	0.343879	0.379058	0.002099	0.024688	0.005247	0.001247	0.064941	0.030534	0.04256	0.033602	0.535233	0.039447	0.022271	0.022001	0.008946	0.024643	0.001272	0.361089	0.047167	0.306823	0.035454	0.035738	0.032742	0.523161	0.036206	0.032949	0.039876	0.034534	0.759476	0.084223	0.479744	0.000424	0.393915	0.171527	0.044936	0.027633	0.097263	0.034213	0.348118	0.039988	0.036903	0.017432	0.03413	0.044313	0.02552	0.053321	0.038486	0.067815	0.029355	0.014755	0.088833
FCMP.c-23.4320	0.228104	0.011344	0.455925	0.700392	0.16225	0.141194	0.021639	0.166149	0.238584	0.06532	0.078821	0.037257	0.296105	0.219019	0.180172	0.419456	0.015719	0.295183	0.005179	0.001953	0.03949	0.211252	0.059704	0.047998	0.184745	0.574528	0.177561	0.037759	0.069789	0.207008	0.069025	0.273023	0.240554	0.370002	0.124258	0.000654	0.118254	0.100774	0.638748	0.11629	0.085145	0.483242	0.12779	0.086632	0.001956	0.310184	0.021942	0.006466	0.146045	0.046919	0.42804	0.041417	0.06364	0.006544	0.071596
